item,name,description,type,category,subcategory,text,predicted_label_id,predicted_label
http://www.wikidata.org/entity/Q2427430,Northeast Flag Replacement,"Zhang Xueliang's announcement on 29 December 1928 on replacing all banners of the Beiyang government in Manchuria with the flag of the Nationalist government, thus nominally uniting China under one state",concept,History,historical event,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] History | [TYPE] concept | [SUBCATEGORY] historical event | [NAME] Northeast Flag Replacement | [DESC] Zhang Xueliang's announcement on 29 December 1928 on replacing all banners of the Beiyang government in Manchuria with the flag of the Nationalist government, thus nominally uniting China under one state | [WIKI] ",2,cultural exclusive
http://www.wikidata.org/entity/Q125482,imam,Islamic leadership position,concept,philosophy and religion,religious leader,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] philosophy and religion | [TYPE] concept | [SUBCATEGORY] religious leader | [NAME] imam | [DESC] Islamic leadership position | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q15789,FC Bayern Munich,"association football club in Munich, Germany",named entity,sports,sports club,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] sports | [TYPE] named entity | [SUBCATEGORY] sports club | [NAME] FC Bayern Munich | [DESC] association football club in Munich, Germany | [WIKI] ",1,cultural representative
http://www.wikidata.org/entity/Q582496,Fome Zero,program intended to eradicate hunger and extreme poverty in Brazil,named entity,politics,government agency,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] politics | [TYPE] named entity | [SUBCATEGORY] government agency | [NAME] Fome Zero | [DESC] program intended to eradicate hunger and extreme poverty in Brazil | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q572811,Anthony Award,awards given at Bouchercon for mystery literature,named entity,Literature,literary award,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Literature | [TYPE] named entity | [SUBCATEGORY] literary award | [NAME] Anthony Award | [DESC] awards given at Bouchercon for mystery literature | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q1866547,Livraria Bertrand,Portuguese book retailer,named entity,Books,bookstore,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Books | [TYPE] named entity | [SUBCATEGORY] bookstore | [NAME] Livraria Bertrand | [DESC] Portuguese book retailer | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q19081,prokaryotes,group of organisms whose cells lack a cell nucleus,concept,Biology,organism,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Biology | [TYPE] concept | [SUBCATEGORY] organism | [NAME] prokaryotes | [DESC] group of organisms whose cells lack a cell nucleus | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q474090,narrative poetry,type of poetry which tells a story,concept,Literature,poetry,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Literature | [TYPE] concept | [SUBCATEGORY] poetry | [NAME] narrative poetry | [DESC] type of poetry which tells a story | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q1266300,Neue Slowenische Kunst,micronation,named entity,Visual Arts,art movement,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Visual Arts | [TYPE] named entity | [SUBCATEGORY] art movement | [NAME] Neue Slowenische Kunst | [DESC] micronation | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q193654,short-track speed skating,"winter sport, in which skaters skate on an oval ice track with a length of 111.12 m",concept,sports,sport,"[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] sports | [TYPE] concept | [SUBCATEGORY] sport | [NAME] short-track speed skating | [DESC] winter sport, in which skaters skate on an oval ice track with a length of 111.12 m | [WIKI] ",0,cultural agnostic
http://www.wikidata.org/entity/Q372,We Live in Public,2009 documentary film,named entity,Films,film,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Films | [TYPE] named entity | [SUBCATEGORY] film | [NAME] We Live in Public | [DESC] 2009 documentary film | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q820887,University of Florence,university in Italy,named entity,History,archive,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] History | [TYPE] named entity | [SUBCATEGORY] archive | [NAME] University of Florence | [DESC] university in Italy | [WIKI] ,2,cultural exclusive
http://www.wikidata.org/entity/Q503269,seamount,mountain rising from the ocean floor that does not reach the water's surface,concept,Geography,mountain,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Geography | [TYPE] concept | [SUBCATEGORY] mountain | [NAME] seamount | [DESC] mountain rising from the ocean floor that does not reach the water's surface | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q57318,free imperial city,self-ruling city that enjoyed Imperial immediacy in the Holy Roman Empire,concept,Geography,city,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Geography | [TYPE] concept | [SUBCATEGORY] city | [NAME] free imperial city | [DESC] self-ruling city that enjoyed Imperial immediacy in the Holy Roman Empire | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q25239,Alnus,genus of plants,concept,Biology,tree,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Biology | [TYPE] concept | [SUBCATEGORY] tree | [NAME] Alnus | [DESC] genus of plants | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q47195,trick-or-treating,Halloween custom in which costumed children go from house to house to ask for candy,concept,Gestures and habits,tradition,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Gestures and habits | [TYPE] concept | [SUBCATEGORY] tradition | [NAME] trick-or-treating | [DESC] Halloween custom in which costumed children go from house to house to ask for candy | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q83368,empiricism,theory that states that knowledge comes only or primarily from sensory experience,concept,philosophy and religion,philosophical movement,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] philosophy and religion | [TYPE] concept | [SUBCATEGORY] philosophical movement | [NAME] empiricism | [DESC] theory that states that knowledge comes only or primarily from sensory experience | [WIKI] ,0,cultural agnostic
http://www.wikidata.org/entity/Q42601,David Ginola,French footballer (born 1967),named entity,Fashion,model,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Fashion | [TYPE] named entity | [SUBCATEGORY] model | [NAME] David Ginola | [DESC] French footballer (born 1967) | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q654057,Tuscan order,Architectural order,concept,architecture,architectural style,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] architecture | [TYPE] concept | [SUBCATEGORY] architectural style | [NAME] Tuscan order | [DESC] Architectural order | [WIKI] ,1,cultural representative
http://www.wikidata.org/entity/Q446523,epyllion,short epic poem,concept,Literature,literary genre,[ATTACHMENT] 0 | [SPREAD] 0 | [SPECIFICITY] 0 | [LANGUAGES] 0 | [INSTANCEOF] 0 | [SUBCLASSOF] 0 | [DESCRIBEDBY] 0 | [CATEGORY] Literature | [TYPE] concept | [SUBCATEGORY] literary genre | [NAME] epyllion | [DESC] short epic poem | [WIKI] ,0,cultural agnostic
