item,name,title,label
http://www.wikidata.org/entity/Q2427430,Northeast Flag Replacement,Northeast Flag Replacement,cultural exclusive
http://www.wikidata.org/entity/Q125482,imam,Imam,cultural representative
http://www.wikidata.org/entity/Q15789,FC Bayern Munich,FC Bayern Munich,cultural representative
http://www.wikidata.org/entity/Q582496,Fome Zero,Fome Zero,cultural exclusive
http://www.wikidata.org/entity/Q572811,Anthony Award,Anthony Awards,cultural exclusive
http://www.wikidata.org/entity/Q1866547,Livraria Bertrand,Livraria Bertrand,cultural exclusive
http://www.wikidata.org/entity/Q19081,prokaryotes,Prokaryote,cultural agnostic
http://www.wikidata.org/entity/Q474090,narrative poetry,Narrative poetry,cultural agnostic
http://www.wikidata.org/entity/Q1266300,Neue Slowenische Kunst,Neue Slowenische Kunst,cultural representative
http://www.wikidata.org/entity/Q193654,short-track speed skating,Short-track speed skating,cultural representative
http://www.wikidata.org/entity/Q372,We Live in Public,We Live in Public,cultural exclusive
http://www.wikidata.org/entity/Q820887,University of Florence,University of Florence,cultural exclusive
http://www.wikidata.org/entity/Q503269,seamount,Seamount,cultural agnostic
http://www.wikidata.org/entity/Q57318,free imperial city,Free imperial city,cultural exclusive
http://www.wikidata.org/entity/Q25239,Alnus,Alder,cultural agnostic
http://www.wikidata.org/entity/Q47195,trick-or-treating,Trick-or-treating,cultural agnostic
http://www.wikidata.org/entity/Q83368,empiricism,Empiricism,cultural agnostic
http://www.wikidata.org/entity/Q42601,David Ginola,David Ginola,cultural representative
http://www.wikidata.org/entity/Q654057,Tuscan order,Tuscan order,cultural agnostic
http://www.wikidata.org/entity/Q446523,epyllion,Epyllion,cultural agnostic
http://www.wikidata.org/entity/Q1695743,post in ground,Post in ground,cultural agnostic
http://www.wikidata.org/entity/Q5188176,cross-gender acting,Cross-gender acting,cultural agnostic
http://www.wikidata.org/entity/Q154168,toast,Toast (honor),cultural representative
http://www.wikidata.org/entity/Q13473,beIN SPORTS,BeIN Sports,cultural representative
http://www.wikidata.org/entity/Q2088191,philosopher king,Philosopher king,cultural agnostic
http://www.wikidata.org/entity/Q15003,escalator,Escalator,cultural agnostic
http://www.wikidata.org/entity/Q510548,Tour Méditerranéen,La Méditerranéenne,cultural exclusive
http://www.wikidata.org/entity/Q672556,Boxer Protocol,Boxer Protocol,cultural agnostic
http://www.wikidata.org/entity/Q738377,student newspaper,Student publication,cultural agnostic
http://www.wikidata.org/entity/Q170980,obelisk,Obelisk,cultural agnostic
http://www.wikidata.org/entity/Q242791,Kyokushin kaikan,Kyokushin,cultural representative
http://www.wikidata.org/entity/Q159488,anti-tobacco movement in Nazi Germany,Anti-tobacco movement in Nazi Germany,cultural representative
http://www.wikidata.org/entity/Q5409,Peire Rogier,Peire Rogier,cultural exclusive
http://www.wikidata.org/entity/Q748822,private press,Private press,cultural agnostic
http://www.wikidata.org/entity/Q578798,Council of Government of the Region of Murcia,Council of Government of the Region of Murcia,cultural exclusive
http://www.wikidata.org/entity/Q1145,Jean-Philippe Rameau,Jean-Philippe Rameau,cultural representative
http://www.wikidata.org/entity/Q169990,Eleventh Amendment to the United States Constitution,Eleventh Amendment to the United States Constitution,cultural exclusive
http://www.wikidata.org/entity/Q6406716,Castillo Douglas,Castillo Douglas,cultural exclusive
http://www.wikidata.org/entity/Q1323191,costume designer,Costume designer,cultural agnostic
http://www.wikidata.org/entity/Q66844,Lamboing,Lamboing,cultural exclusive
http://www.wikidata.org/entity/Q365065,bitter lemon,Bitter lemon,cultural agnostic
http://www.wikidata.org/entity/Q546206,Miami bass,Miami bass,cultural exclusive
http://www.wikidata.org/entity/Q82288,Psychrolutes marcidus,Psychrolutes marcidus,cultural agnostic
http://www.wikidata.org/entity/Q488205,singer-songwriter,Singer-songwriter,cultural agnostic
http://www.wikidata.org/entity/Q487734,Croatian folk costume,Croatian national costume,cultural representative
http://www.wikidata.org/entity/Q253241,Su Nuraxi di Barumini,Su Nuraxi (Barumini),cultural exclusive
http://www.wikidata.org/entity/Q217392,Open Season 2,Open Season 2,cultural representative
http://www.wikidata.org/entity/Q1776053,city comedy,City comedy,cultural exclusive
http://www.wikidata.org/entity/Q3154160,Julia Vysotskaya,Julia Vysotskaya,cultural representative
http://www.wikidata.org/entity/Q53044,Elio Petri,Elio Petri,cultural representative
http://www.wikidata.org/entity/Q852061,champion,Champion,cultural agnostic
http://www.wikidata.org/entity/Q201565,nori,Nori,cultural representative
http://www.wikidata.org/entity/Q264972,740 Park Avenue,740 Park Avenue,cultural exclusive
http://www.wikidata.org/entity/Q5219853,Danish philosophy,Danish philosophy,cultural agnostic
http://www.wikidata.org/entity/Q242095,Dino Buzzati,Dino Buzzati,cultural representative
http://www.wikidata.org/entity/Q438464,alternative comics,Alternative comics,cultural agnostic
http://www.wikidata.org/entity/Q55439,panel painting,Panel painting,cultural agnostic
http://www.wikidata.org/entity/Q1650915,researcher,Researcher,cultural agnostic
http://www.wikidata.org/entity/Q2250579,Shu'ubiyya,Shu'ubiyya,cultural agnostic
http://www.wikidata.org/entity/Q177220,singer,Singer,cultural agnostic
http://www.wikidata.org/entity/Q47520669,diplomatician,Diplomatist,cultural agnostic
http://www.wikidata.org/entity/Q182950,Studio Ghibli,Studio Ghibli,cultural representative
http://www.wikidata.org/entity/Q1154859,rock festival,Rock festival,cultural agnostic
http://www.wikidata.org/entity/Q31454881,Baldegg Kloster railway station,Baldegg Kloster railway station,cultural exclusive
http://www.wikidata.org/entity/Q62855,Alexander Braun,Alexander Braun,cultural exclusive
http://www.wikidata.org/entity/Q254907,genrō,Genrō,cultural exclusive
http://www.wikidata.org/entity/Q591942,distributary,Distributary,cultural agnostic
http://www.wikidata.org/entity/Q942219,kanga,Kanga (garment),cultural representative
http://www.wikidata.org/entity/Q178671,Theosophy,Theosophy,cultural representative
http://www.wikidata.org/entity/Q890057,body modification,Body modification,cultural agnostic
http://www.wikidata.org/entity/Q6839890,Microphotography,Microphotography (literature),cultural agnostic
http://www.wikidata.org/entity/Q5180408,Crackle,Crackle (service),cultural exclusive
