num_nodes,num_edges,average_degree,density,average_clustering,assortativity,transitivity,language,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,edge_weight_mean,edge_weight_std,label_overlap_with_country,name,description,type,category,subcategory,label,item
28,40,2.857142857142857,0.05291005291005291,0.04481345801649631,-0.16201366381776447,0.05555555555555555,en,0.10582010582010581,0.09920634920634921,0.15576793545941545,1.05,0.2179449471770337,0.0,77 Records,UK record label,entity,music,record label,cultural exclusive,http://www.wikidata.org/entity/Q268530
244,417,3.418032786885246,0.007032989273426432,0.030055815938037505,-0.15325577859707226,0.0071875,en,0.014065978546852865,0.013679949575793259,0.14677542950468542,1.1247002398081534,0.4982357062844142,0.004098360655737705,abaya,"simple, loose over-garment wore by humans, especially Muslim women",concept,fashion,traditional costume,cultural representative,http://www.wikidata.org/entity/Q305718
9,12,2.6666666666666665,0.16666666666666666,0.2296296296296296,-0.2060897454062154,0.03125,en,0.3333333333333333,0.027777777777777776,0.18851010101010102,1.0,0.0,0.1111111111111111,Aarwangen Castle,"castle in Aarwangen in the canton of Bern, Switzerland",entity,architecture,architectural structure,cultural exclusive,http://www.wikidata.org/entity/Q265890
223,377,3.381165919282511,0.007615238556942593,0.014598128302721895,-0.06508473482734764,0.011220825852782765,en,0.015230477113885187,0.020397088848684734,0.10427396858902653,1.1724137931034482,0.6387012341001465,0.008968609865470852,Academy of San Carlos,"Located in Mexico City, it was the first major art academy and the first art museum in the Americas",entity,visual arts,art gallery,cultural exclusive,http://www.wikidata.org/entity/Q337267
265,465,3.509433962264151,0.0066466552315608916,0.025602563592718012,-0.19062960876313478,0.005066839154808107,en,0.013293310463121783,0.013538480435316648,0.15869523228852433,1.1440860215053763,0.5590818828580351,0.007547169811320755,aircraft,machine that is able to fly by gaining support from the air other than the reactions of the air against the earth’s surface,concept,transportation,mode of transport,cultural agnostic,http://www.wikidata.org/entity/Q11436
98,144,2.938775510204082,0.015148327372185988,0.011203403326299075,-0.2162041998363284,0.007042253521126761,en,0.030296654744371977,0.02451850585595063,0.09964675851768047,1.0972222222222223,0.615984357264908,0.0,Alcantara,trademark of a synthetic fabric,concept,fashion,textile,cultural agnostic,http://www.wikidata.org/entity/Q583479
17,21,2.4705882352941178,0.07720588235294118,0.07142857142857142,-0.4095183383624074,0.04,en,0.15441176470588236,0.03333333333333333,0.1210340665553661,1.0476190476190477,0.21295885499997996,0.0,A Gang Story,2011 film by Olivier Marchal,entity,films,film,cultural exclusive,http://www.wikidata.org/entity/Q593
643,1222,3.8009331259720063,0.0029602282912554565,0.006239599523697353,-0.12878132140161297,0.007891387356809504,en,0.005920456582510912,0.005754993357246534,0.12974101943508187,1.1612111292962357,1.0445248912241283,0.0015552099533437014,A Bug's Life,1998 animated film directed by John Lasseter and Andrew Stanton,entity,comics and anime,animated film,cultural representative,http://www.wikidata.org/entity/Q216153
428,826,3.8598130841121496,0.004519687452121955,0.008312991344176901,-0.1253237930394414,0.010200296735905045,en,0.00903937490424391,0.008796484540253113,0.1241226811540614,1.2360774818401936,1.22472751875967,0.002336448598130841,1. FC Nürnberg,"German sports club based in Nuremberg, Bavaria",entity,sports,sports club,cultural representative,http://www.wikidata.org/entity/Q15786
155,243,3.1354838709677417,0.010180142438206955,0.022356899337200472,-0.15086342502391392,0.0111731843575419,en,0.020360284876413913,0.020139590538072513,0.0910951667013795,1.102880658436214,0.6921903670783852,0.0,Amjad Khan,Indian actor (1940-1992),entity,films,film director,cultural representative,http://www.wikidata.org/entity/Q46392
293,569,3.8839590443686007,0.006650614802001029,0.01313230970891181,-0.12163944624867468,0.01794392523364486,en,0.013301229604002054,0.011973629056525987,0.14148520193793185,1.1423550087873462,0.8036267137535884,0.0,Alexandra Stan,Romanian singer,entity,fashion,model,cultural representative,http://www.wikidata.org/entity/Q1453
231,339,2.935064935064935,0.006380575945793337,0.01834572059177011,-0.27816187027412875,0.001693002257336343,en,0.012761151891586676,0.014182893241180694,0.07243379747663102,1.0766961651917404,0.34352802440938607,0.0,Anasyrma,The culturally framed gesture of lifting the skirt or kilt,concept,gestures and habits,body language,cultural representative,http://www.wikidata.org/entity/Q487265
157,271,3.4522292993630574,0.011064837497958517,0.02928912153792337,-0.03453366158607286,0.02388535031847134,en,0.02212967499591703,0.024432994578875,0.1267776322254978,1.081180811808118,0.35531817320179254,0.0,apéritif,alcoholic drink normally served before a meal,concept,food,drink,cultural representative,http://www.wikidata.org/entity/Q192150
473,856,3.619450317124736,0.0038341634715304404,0.006836673034829415,-0.12718530945127024,0.006335566559860181,en,0.007668326943060881,0.009163083526517445,0.1393589675850229,1.1483644859813085,0.9423559350221471,0.0021141649048625794,Angiosperms,clade of flowering plants (in APG I-III),concept,biology,plant,cultural agnostic,http://www.wikidata.org/entity/Q25314
111,174,3.135135135135135,0.01425061425061425,0.04314593321480257,-0.2674003796137609,0.006707946336429308,en,0.028501228501228503,0.018427518427518427,0.08476150971130418,1.0459770114942528,0.23528148839607724,0.009009009009009009,alcazaba,type of fortress,concept,history,monument,cultural representative,http://www.wikidata.org/entity/Q91717
